review_id,product_id,customer_id,rating
1,42,8,2
2,2,1,2
3,14,10,2
4,44,50,4
5,2,47,3
6,50,8,2
7,32,28,4
8,44,19,4
9,9,40,5
10,43,49,1
11,10,40,3
12,37,5,4
13,17,42,4
14,50,29,1
15,17,25,4
16,14,17,5
17,36,13,2
18,31,6,5
19,35,8,3
20,19,34,1
21,9,1,2
22,31,14,5
23,38,36,2
24,37,15,4
25,2,4,1
26,26,39,2
27,40,47,4
28,49,38,1
29,43,2,5
30,32,35,4
31,34,40,3
32,41,41,4
33,38,26,5
34,36,19,3
35,8,3,1
36,32,11,3
37,40,33,5
38,50,25,1
39,40,47,5
40,14,45,4
41,25,49,3
42,40,5,2
43,34,36,2
44,48,3,3
45,3,45,1
46,32,32,2
47,47,5,5
48,13,6,2
49,23,13,3
50,34,48,4
